title,url,probability,actualEstimate,platform,date_approx,category,description
Total existential risk by 2120,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.17,~17% (~1 in 6),Toby Ord,2020,Total risk,"Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""

This estimate already incorporates Ord's expectation that people will start taking these risks more seriously in future. For his ""business as usual"" estimate, see the conditional estimates sheet."
Overall risk of extinction prior to 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.19,19%,GCR Conference,2008,Total risk,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.
Existential risk in the 21st century,https://80000hours.org/podcast/episodes/will-macaskill-paralysis-and-hinge-of-history/#transcript,0.01,1%,Will MacAskill,2019,Total risk,
Extinction risk in the next century,https://80000hours.org/articles/extinction-risk/,0.03,Probably at or above 3%,"Ben Todd or 80,000 Hours",2017,Total risk,
Risk of extinction over the next five centuries,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.3,At or above 30%,John Leslie,1996,Total risk,"""The probability of the human race avoiding extinction for the next five centuries is encouragingly high, perhaps as high as 70 percent”"
Our present civilization on earth will survive to the end of the present century,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.5,"≤50% (""no better than fifty-fifty"")",Martin Rees,2003,Total risk,
"There be zero living humans on planet earth on January 1, 2100",https://www.metaculus.com/questions/578/human-extinction-by-2100/,0.08,Median: 1%. Mean: 8%.,Metaculus responders,,Total risk,That median and mean is as of 3rd July 2019.
Existential disaster will do us in,https://www.nickbostrom.com/existential/risks.html,0.25,Probably at or above 25%,Nick Bostrom,2002,Total risk,
"Humanity will cease to exist before 5,100 years or thrive beyond 7.8 million years",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.05,5%.,Gott III,1993,Total risk,
Annual probability as of 2009 of extinction,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.0035,0.3-0.4%,Wells,2009,Total risk,
Global catastrophic risk per year.,https://arxiv.org/abs/1611.03072,0.002,0.2%,Simpson,2016,Total risk,"Beard et al. seem to imply this is about extinction, but the quote suggests it's about ""global catastrophic risk""."
Humanity avoids every existential catastrophe and eventually fulfils its potential: achieving something close to the best future open to us,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.5,50% (~1 in 2),Toby Ord,2020,Total risk,
Sentient life will survive for at least billions of years,https://forum.effectivealtruism.org/posts/MSYhEatxkEfg46j3D/the-case-of-the-missing-cause-prioritisation-research?commentId=iWkoScDxocaAJE4Jg,0.2,>20%,Ozzie Gooen,2020,Total risk,"""I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great."""
Existential catastrophe by 2120 as a result of unaligned AI,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.1,~10%,Toby Ord,2020,AI,
Human extinction by 2100 as a result of superintelligent AI,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.05,5%,Global Catastrophic Risk Conference,2008,AI,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
Extremely bad (e.g. extinction)” long-run impact on humanity from “high-level machine intelligence,https://arxiv.org/abs/1705.08807,0.05,5%,Survey of AI experts,2017,AI,"The report's authors discuss potential concerns around non-response bias and the fact that “NIPS and ICML authors are representative of machine learning but not of the field of artificial intelligence as a whole”. There was also evidence of apparent inconsistencies in estimates of AI timelines as a result of small changes to how questions were asked, providing further reason to wonder how meaningful these experts’ predictions were. https://web.archive.org/web/20171030220008/https://aiimpacts.org/some-survey-results/"
"A state where civilization collapses and does not recover, or a situation where all human life ends, due to AI",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.05,0-10%,Pamlin & Armstrong,2015,AI,
AI causing an existential catastrophe in the next century,https://forum.effectivealtruism.org/posts/7gxtXrMeqw78ZZeY9/ama-or-discuss-my-80k-podcast-episode-ben-garfinkel-fhi?commentId=uxiKooRc6d7JpjMSg,0.055,~0.1-1%,Ben Garfinkel,2020,AI,"Garfinkel was asked for his estimate during an AMA, and replied ""I currently give it something in the .1%-1% range."""
"Chance that AI, through adversarial optimization against humans only, will cause existential catastrophe",https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism,0.05,~5%,Rohin Shah,2020,AI,"This is my interpretation of some comments that may not have been meant to be taken very literally. Elsewhere, Rohin noted that this was “[his] opinion before updating on other people's views"": https://forum.effectivealtruism.org/posts/tugs9KQyNqi4yRTsb/does-80-000-hours-focus-too-much-on-ai-risk#ZmtPji3pQaZK7Y4FF I think he updated this in 2020 to ~9%, due to pessimism about discontinuous scenarios: https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism?commentId=n577gwGB3vRpwkBmj Rohin also discusses his estimates here: https://futureoflife.org/2020/04/15/an-overview-of-technical-ai-alignment-in-2018-and-2019-with-buck-shlegeris-and-rohin-shah/"
AI-induced existential catastrophe,https://futureoflife.org/2020/04/15/an-overview-of-technical-ai-alignment-in-2018-and-2019-with-buck-shlegeris-and-rohin-shah/,0.5,50%,Buck Schlegris,2020,AI,
Existential risk from unaligned AI over the coming 100 years,https://forum.effectivealtruism.org/posts/2sMR7n32FSvLCoJLQ/critical-review-of-the-precipice-a-reassessment-of-the-risks,0.0005,0.05%,James Fodor,2020,AI,"This was a direct response to Ord's estimate. It focuses on one pathway to x-risk from AI, not all pathways (e.g., not AI misuse or risks from competition between powerful AIs). ""These estimates should not be taken very seriously. I do not believe we have enough information to make sensible quantitative estimates about these eventualities. Nevertheless, I present my estimates largely in order to illustrate the extent of my disagreement with Ord’s estimates, and to illustrate the key considerations I examine in order to arrive at an estimate."" In comments on the source, Rohin Shah critiques some of the inputs to this estimate, and provides his own, substantially higher estimates."
Existential risk from AI,https://youtu.be/WLXuZtWoRcE?t=1229,0.175,5-30%,Stuart Armstrong,2020,AI,"""I put the probability that [AI/AGI] is an existential risk roughly in the 30% to 5% range, depending on how the problem is phrased."" I assume he means the probability of existential catastrophe from AI/AGI, not the probability that AI/AGI poses an existential risk. "
Chance of humanity not surviving AI,https://www.youtube.com/watch?v=i4LjoJGpqIY& (from 39:40),0.4,"50, 40, or 33%",Stuart Armstrong,2014,AI,"Stated verbally during an interview. Not totally clear precisely what was being estimated (e.g. just extinction, or existential catastrophe more broadly?). He noted ""This number fluctuates a lot"". He indicated he thought we had a 2/3 chance of surviving, then said he'd adjust to 50%, which is his number for an ""actually superintelligent"" AI, whereas for ""AI in general"" it'd be 60%. This is notably higher than his 2020 estimate, implying either that he updated towards somewhat more ""optimism"" between 2014 and 2020, or that one or both of these estimates don't reflect stable beliefs."
Amount by which risk of failure to align AI (using only a narrow conception of alignment) reduces the expected value of the future,https://aiimpacts.org/conversation-with-paul-christiano/,0.01,~10%,Paul Christiano,2019,AI,"He also says ""I made up 10%, it’s kind of a random number."" And ""All of the numbers I’m going to give are very made up though. If you asked me a second time you’ll get all different numbers."""
Existential catastrophe happening this century (maybe just from AI?),https://youtu.be/aFAI8itZCGk?t=854,41.5,33-50%,Jaan Tallinn,2020,AI,"This comes from a verbal interview (from the 14:14 mark). The interview was focused on AI, and this estimate may have been as well. Tallinn said he's not very confident, but is fairly confident his estimate would be in double-digits, and then said ""two obvious Schelling points"" are 33% or 50%, so he'd guess somewhere in between those. Other comments during the interview seem to imply Tallinn is either just talking about extinction risk or thinks existential risk happens to be dominated by extinction risk."
Existential catastrophe from engineered pandemics by 2120,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.03,~3% (~1 in 30),Toby Ord,2020,Biorisk,
Human extinction by 2100 as a result of the single biggest natural pandemic,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.0005,0.05%,GCR Conference,2008,Biorisk,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
Existential catastrophe from naturally arising pandemics by 2120,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.0001,"~0.01% (~1 in 10,000)",Toby Ord,2020,Biorisk,
Human extinction by 2100 as a result of single biggest engineered pandemic,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.02,2%,GCR Conference,2008,Biorisk,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
Annual probability of an existential catastrophe arising from a global pandemic,https://www.liebertpub.com/doi/10.1089/hs.2017.0028,0.00004,0.008% to 0.0000016% (between 8 x 10-5 and 1.6 x 10-8),Millet & Snyder-Beattie,2017,Biorisk,"The fact that there's a separate estimate from the same source for biowarfare and bioterrorism suggests to me that  this is meant to be an estimate of the risk from a natural pandemic only. But I'm not sure. This might also include ""accidental"" release of a bioengineered pathogen."
Annual probability of an existential catastrophe arising from biowarfare or bioterrorism,https://www.liebertpub.com/doi/10.1089/hs.2017.0028,0.0000019,0.00019% (0.0000019),Millet & Snyder-Beattie,2017,Biorisk,
"Civilization collapses and does not recover, or a situation where all human life ends due to a global pandemic",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.000001,0.0001%,Pamlin & Armstrong,2015,Biorisk,"The fact that there's a separate estimate from the same source for ""synthetic biology"" suggests to me that this is meant to be an estimate of the risk from a natural pandemic only."
"Civilization collapses and does not recover, or a situation where all human life ends, due to synthetic biology",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.000001,0.0001%,Pamlin & Armstrong,2015,Biorisk,
Extinction risk from engineered pandemics over the coming 100 years,https://forum.effectivealtruism.org/posts/2sMR7n32FSvLCoJLQ/critical-review-of-the-precipice-a-reassessment-of-the-risks,0.000002,0.0002%,James Fodor,2020,Biorisk,"This was a direct response to Ord's estimate, although this estimate is of extinction risk rather than existential risk. ""These estimates should not be taken very seriously. I do not believe we have enough information to make sensible quantitative estimates about these eventualities. Nevertheless, I present my estimates largely in order to illustrate the extent of my disagreement with Ord’s estimates, and to illustrate the key considerations I examine in order to arrive at an estimate."" In comments on the source, Will Bradshaw critiques some of the inputs to this estimate."
Human extinction by 2100 as a result of molecular nanotech weapons,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.05,5%,GCR Conference,2008,Nanotechnology,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
Human extinction by 2100 as a result of the single biggest nanotech accident,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.005,0.5%,GCR Conference,2008,Nanotechnology,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
"Civilization collapses and does not recover, or a situation where all human life ends due to nanotechnology",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.0001,0.0100%,Pamlin & Armstrong,2015,Nanotechnology,
Existential catastrophe from other anthropogenic risks (which includes but is not limited to nanotechnology) by 2120,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.02,~2% (~1 in 50),Toby Ord,2020,Nanotechnology,See this post for some commentary: [Some thoughts on Toby Ord’s existential risk estimates](https://forum.effectivealtruism.org/posts/Z5KZ2cui8WDjyF6gJ/my-thoughts-on-toby-ord-s-existential-risk-estimates#_Unforeseen__and__other__anthropogenic_risks__Surprisingly_risky_)
"Total existential risk by 2120 if we just carry on as we are, with business as usual (which Ord doesn't expect us to do)",https://80000hours.org/podcast/episodes/toby-ord-the-precipice-existential-risk-future-humanity/#estimates-for-specific-x-risks-000810,0.33,"~33% (""about one in three"")",Toby Ord,2020,Total risk/conditional,"""Ord: """"one in six is my best guess as to the chance [an existential catastrophe] happens [by 2120]. That’s not a business as usual estimate. Whereas I think often people are assuming that estimates like this are, if we just carry on as we are, what’s the chance that something will happen?

My best guess for that is actually about one in three this century. If we carry on mostly ignoring these risks with humanity’s escalating power during the century and some of these threats being very serious. But I think that there’s a good chance that we will rise to these challenges and do something about them. So you could think of my overall estimate as being something like Russian roulette, but my initial business as usual estimate being there’s something like two bullets in the chamber of the gun, but then we’ll probably remove one and that if we really got our act together, we could basically remove both of them. And so, in some sense, maybe the headline figure should be one in three being the difference between the business as usual risk and how much of that we could eliminate if we really got our act together.""""

Arden Koehler replies """"Okay. So business as usual means doing what we are approximately doing now extrapolated into the future but we don’t put much more effort into it as opposed to doing nothing at all?""""

Ord replies: """"That’s right, and it turns out to be quite hard to define business as usual. That’s the reason why, for my key estimate, that I make it… In some sense, it’s difficult to define estimates where they take into account whether or not people follow the advice that you’re giving; that introduces its own challenges. But at least that’s just what a probability normally means. It means that your best guess of the chance something happens, whereas a best guess that something happens conditional upon certain trends either staying at the same level or continuing on the same trajectory or something is just quite a bit more unclear as to what you’re even talking about."""""""
"The probability that the long-run overall impact on humanity of human level machine intelligence will be Extremely bad (existential catastrophe)”, assuming Human Level Machine Intelligence will at some point exist.",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=511918904,0.18,18%,Survey of experts in the AI field,2016,AI/conditional,"This is the mean. According to Beard et al., the question was ""4. Assume for the purpose of this question that such Human Level Machine Intelligence (HLMI) will at some point exist. How positive or negative would be overall impact on humanity, in the long run?"" "
"Chance that AI, through “adversarial optimization against humans only”, will cause existential catastrophe, conditional on there not being “additional intervention by longtermists” (or perhaps “no intervention from longtermists”)",https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism,0.1,~10%,Rohin Shah,2019,AI/conditional,"This is my interpretation of some comments that may not have been meant to be taken very literally. I think he updated this in 2020 to ~15%, due to pessimism about discontinuous scenarios: https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism?commentId=n577gwGB3vRpwkBmj Rohin also discusses his estimates here: https://futureoflife.org/2020/04/15/an-overview-of-technical-ai-alignment-in-2018-and-2019-with-buck-shlegeris-and-rohin-shah/"
"Chance that AI, through “adversarial optimization against humans only”, will cause existential catastrophe, conditional on “discontinuous takeoff”",https://www.lesswrong.com/posts/TdwpN484eTbPSvZkm/rohin-shah-on-reasons-for-ai-optimism,0.7,~70% (but with “way more uncertainty” than his other estimates),Rohin Shah,2019,AI/conditional,
"Chance that we don't manage to survive that transition [to there being something that's more intelligent than humanity], being in charge of our future.",https://80000hours.org/podcast/episodes/toby-ord-the-precipice-existential-risk-future-humanity/#transcript,0.2,~20%,Toby Ord,2020,AI/conditional,"This may have been specifically if the transition happens in the net 100 years; it's possible Ord would estimate we'd have a different chance if this transition happened at a later time.
""Basically, you can look at my [estimate that the existential risk from AI in the next 100 years is] 10% as, there’s about a 50% chance that we create something that’s more intelligent than humanity this century. And then there’s only an 80% chance that we manage to survive that transition, being in charge of our future. If you put that together, you get a 10% chance that’s the time where we lost control of the future in a negative way.

[For people who would disagree, a question] is why would they think that we have much higher than an 80% chance of surviving this ‘passing this baton to these other entities’, but still retaining control of our future or making sure that they build a future that is excellent, surpassingly good by our own perspective? I think that the very people who are working on trying to actually make sure that artificial intelligence would be aligned with our values are finding it extremely difficult. They’re not that hopeful about it. So it seems hard to think there’s more than 80% chance, based on what we know, to get through that."""
