"Title","URL","Platform","Binary question?","Percentage","Description","# Forecasts","Stars"
"Will the Ethereum block gas limit be >= 25,000,000 gas in any block on April 1st 2021?","https://omen.eth.link/#/0x06c942fd737bc53571a34667b2ae3b669f1f502d","Omen",true,"99%","",,"★☆☆☆☆"
"Will UNI governance approve a new liquidity mining program by the end of February, 2021?","https://omen.eth.link/#/0x32848849f5b7e30ff75f57838fea8f9663c3d9de","Omen",true,"6%","",,"★☆☆☆☆"
"Will GIP-5 pass? (GIP-5: Remove Gnosis Impact from the GnosisDAO Governance Process)","https://omen.eth.link/#/0x4a7ccee82790339756a044d7815126f242ab18cd","Omen",true,"50%","",,"★☆☆☆☆"
"Will Uniswap V3 be launched and usable in Q1 2021? (includes mainnet or Layer2)","https://omen.eth.link/#/0x8bcf27b20670a4f32973cbf231b8904029da1ccb","Omen",true,"40%","",,"★☆☆☆☆"
"When will the FDA approve the use of an existing, orally-administered vaccine for the prevention of COVID-19?","https://omen.eth.link/#/0x9598659e3fc7d5a618b57e94be2ac37e5d774905","Omen",false,"none","",,"★☆☆☆☆"
"Will The Flippening happen in 2021? (Will another blockchain's market cap exceed Bitcoin's market cap in 2021?)","https://omen.eth.link/#/0xa6da2bc89a433b9cdcc7271077a119139f4d305c","Omen",true,"50%","",,"★☆☆☆☆"
"Will Joe Biden be the US President at the end of 2021?","https://omen.eth.link/#/0xd450b6c4db569f600cb42acc0a6cd3a140c4894b","Omen",true,"85%","",,"★☆☆☆☆"
"Will GIP-5 pass? (GIP-5: Remove Gnosis Impact from the GnosisDAO Governance Process)","https://omen.eth.link/#/0xdad7da2870846ed40a48cc5485b10d56612a990e","Omen",true,"50%","",,"★☆☆☆☆"
"Will Compound Chain be launched and usable by the end of Q2 2021?","https://omen.eth.link/#/0xe018254be84e200bfb9947dc57df8943cb2ac1b2","Omen",true,"40%","",,"★☆☆☆☆"
"Will UNI governance approve a new liquidity mining program by the end of February, 2021?","https://omen.eth.link/#/0xed6940e49cee029c4664d9794c04d5f9e5597632","Omen",true,"10%","",,"★☆☆☆☆"